,title,artist,date_popularity,week_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,music_clusters
0,Sad!,XXXTENTACION,2018-06-30,0,0.7104622871046229,0.6008199374258281,0.7272727272727273,0.8517040653459769,1.0,0.16968514906659238,0.25919001424325305,0.0039034627492130123,0.10835214446952597,0.4671610169491526,0.12262325221345977,0.2127174480406286,0.75,2
1,I Like It,"Cardi B, Bad Bunny & J Balvin",2018-06-30,0,0.8029197080291971,0.7227316862660482,0.4545454545454546,0.8931086282978123,0.0,0.14739481749791028,0.0993680498805356,0.0,0.38939051918735906,0.6546610169491526,0.49168440659925494,0.3551670480248709,0.75,1
2,Nice For What,Drake,2018-06-30,0,0.5218978102189781,0.9201639874851658,0.7272727272727273,0.776875410759553,1.0,0.06617442184452495,0.08941687096738526,0.00010178384050367263,0.1038374717832957,0.7690677966101696,0.23359257825729351,0.2851716768489854,0.75,2
3,Lucid Dreams,Juice WRLD,2018-06-30,0,0.4318734793187349,0.5501132808285685,0.5454545454545454,0.7413857853722654,0.0,0.24630816383393705,0.3506604466772611,0.0,0.353273137697517,0.19703389830508478,0.17632686632154415,0.33291914658927885,0.75,1
4,Girls Like You,Maroon 5 Featuring Cardi B,2018-06-30,0,0.5535279805352799,0.43791131729420657,0.0,0.7496479203830626,1.0,0.0576762329339649,0.5607408903993236,1.0598111227701995e-06,0.11738148984198647,0.3654661016949153,0.02956117857661228,0.29253019404949887,0.75,0
5,Psycho,Post Malone Featuring Ty Dolla $ign,2018-06-30,0,0.7226277372262775,0.543640090624663,0.7272727272727273,0.7008262135010797,1.0,0.11395932014488715,0.5486788553530808,0.0,0.09480812641083523,0.4523305084745763,0.5159477962165563,0.3027234556634156,0.75,2
6,Boo'd Up,Ella Mai,2018-06-30,0,0.4927007299270074,0.7799115330672134,0.9090909090909092,0.8410477889400055,0.0,0.04165505711897466,0.08650187916454324,0.0,0.05756207674943567,0.21504237288135594,0.16460641540471238,0.35955622379872165,0.75,1
7,God's Plan,Drake,2018-06-30,0,0.7274939172749393,0.42388607185241134,0.6363636363636364,0.6483898225518729,1.0,0.11953190303705767,0.03322789104363742,8.698845750262331e-05,0.5925507900677202,0.3442796610169492,0.1356016256229135,0.265845515457318,0.75,2
8,No Tears Left To Cry,Ariana Grande,2018-06-30,0,0.6605839416058396,0.7087064408242529,0.8181818181818182,0.822270209370012,0.0,0.05043187517414323,0.04006304423650836,3.2633788037775447e-06,0.3013544018058691,0.3411016949152542,0.40668392278291166,0.2772485087635787,0.75,1
9,The Middle,"Zedd, Maren Morris & Grey",2018-06-30,0,0.5924574209245743,0.8554320854461109,0.18181818181818182,0.8259787813350858,1.0,0.04095848425745334,0.03714805243366634,0.0,0.03498871331828443,0.9226694915254238,0.6495536794232912,0.21148145351642905,0.75,0
10,Meant To Be,Bebe Rexha & Florida Georgia Line,2018-06-30,0,0.5924574209245743,0.7842269932031504,0.9090909090909092,0.7776265139423528,1.0,0.08693229311786013,0.04709923134681667,0.0,0.06320541760722348,0.5794491525423728,0.6007608011998646,0.2082265037933378,0.75,2
11,Yes Indeed,Lil Baby & Drake,2018-06-30,0,0.9817518248175183,0.31276297335203374,0.4545454545454546,0.6437893155572247,0.0,0.7060462524380051,0.0355397810941673,0.0,0.09142212189616253,0.5614406779661018,0.39437079684551746,0.17277660506938314,0.75,1
12,Apes**t,The Carters,2018-06-30,0,0.6593673965936739,0.7842269932031504,0.18181818181818182,0.7755140362407286,1.0,0.33825578155475067,0.01593897414402271,0.0,0.1681715575620768,0.3665254237288136,0.6367446417339978,0.373982725622347,0.75,0
13,Friends,Marshmello & Anne-Marie,2018-06-30,0,0.3236009732360098,0.5965044772898911,1.0,0.7821800769880761,0.0,0.014349400947339101,0.011315194042962957,4.994753410283317e-06,0.09142212189616253,0.06260593220338984,0.3180669118002807,0.3167921264030097,0.5,1
14,I'm Upset,Drake,2018-06-30,0,0.9038929440389296,0.5716905815082534,1.0,0.7115294338559759,0.0,0.4455280022290332,0.28029857557417803,0.0,0.06388261851015802,0.4872881355932205,0.5760740722821618,0.29127778525538967,0.75,1
15,Moonlight,XXXTENTACION,2018-06-30,0,0.9306569343065694,0.5188261948430253,0.8181818181818182,0.8121303164022158,0.0,0.07968793535803846,0.5587305512249499,0.004239244491080798,0.08465011286681715,0.7192796610169492,0.44306691180028057,0.16098623499325376,0.75,1
16,This Is America,Childish Gambino,2018-06-30,0,0.8491484184914844,0.4389901823281908,0.4545454545454546,0.791662754670923,1.0,0.15853998328225133,0.11746110244989984,0.0,0.3690744920993228,0.5476694915254237,0.39477599303304467,0.30983575881528364,0.75,0
17,Changes,XXXTENTACION,2018-06-30,0,0.624087591240876,0.2717661020606323,1.0,0.6081588583231621,1.0,0.008080245193647265,0.8874210062350668,0.0,0.08058690744920993,0.516949152542373,0.06160796361701093,0.13931447443149178,0.75,2
18,Jocelyn Flores,XXXTENTACION,2018-06-30,0,0.8710462287104623,0.36131189988132495,0.0,0.651535067129847,0.0,0.3048202842017275,0.4712807971396894,4.333683105981113e-06,0.3047404063205418,0.4290254237288137,0.47942571000048395,0.1347939844983635,0.75,1
19,Mine,Bazzi,2018-06-30,0,0.6739659367396594,0.790700183407056,0.36363636363636365,0.8989296779645103,1.0,0.06826414042908889,0.016039491102741398,2.9066107030430223e-06,0.4785553047404064,0.7256355932203391,0.533298659828729,0.1543778499276131,0.75,0
20,Perfect,Ed Sheeran,2018-06-30,0,0.5389294403892945,0.4228072068184271,0.7272727272727273,0.7844803304854004,1.0,0.0,0.16369890346049734,0.0,0.08916478555304741,0.14406779661016952,0.24374062605834823,0.3715977322044693,0.5,2
21,In My Blood,Shawn Mendes,2018-06-30,0,0.5669099756690998,0.7076275757902688,0.4545454545454546,0.7371138860200919,1.0,0.05962663694622458,0.05745247809484176,0.0,0.1162528216704289,0.4819915254237288,0.5157361265663555,0.2861778715944494,0.75,0
22,Better Now,Post Malone,2018-06-30,0,0.637469586374696,0.5630596612363794,0.9090909090909092,0.8083278565392922,1.0,0.023404848147116193,0.33256739410789693,0.0,0.12189616252821671,0.3273305084745763,0.5460532681793989,0.3188537587036666,0.75,2
23,Walk It Talk It,Migos Featuring Drake,2018-06-30,0,0.9136253041362532,0.6223972381055131,0.18181818181818182,0.8392639188808562,1.0,0.22401783226525496,0.08790911658660491,2.7282266526757613e-06,0.08916478555304741,0.3845338983050848,0.5513510571387101,0.3925210020583495,0.75,0
24,Look Alive,BlocBoy JB Featuring Drake,2018-06-30,0,0.9318734793187349,0.5662962563383321,0.9090909090909092,0.7289456389071448,1.0,0.3438283644469212,0.0009016371197066511,6.14900314795383e-05,0.08803611738148984,0.5963983050847458,0.5157179834534812,0.23677584344725933,0.75,2
25,Never Be The Same,Camila Cabello,2018-06-30,0,0.5851581508515816,0.7087064408242529,0.0,0.8773824054079429,1.0,0.07174700473669547,0.18179195602986156,0.0006684155299055614,0.12415349887133183,0.22351694915254242,0.45464221781411784,0.3118054712044463,0.75,0
26,Delicate,Taylor Swift,2018-06-30,0,0.7226277372262775,0.3753371453231202,0.8181818181818182,0.6029950239414139,0.0,0.06269155753691837,0.2169728915814032,0.0003746065057712487,0.07234762979683973,0.018961864406779667,0.243710387536891,0.32047220571676194,0.75,1
27,F**k Love,XXXTENTACION Featuring Trippie Redd,2018-06-30,0,0.21289537712895382,0.12180386233682165,0.8181818181818182,0.148530654398648,1.0,0.01295625522429647,0.998994830412813,0.9296956977964322,0.10609480812641083,0.239406779661017,0.2605895302143306,0.35546742916421825,0.75,2
28,Be Careful,Cardi B,2018-06-30,0,0.8065693430656936,0.5522710108965369,0.5454545454545454,0.694394892498357,0.0,0.540261911395932,0.02518653434614221,0.0,0.07697516930022574,0.5328389830508475,0.5898749334752528,0.2852373339286242,0.75,1
29,Whatever It Takes,Imagine Dragons,2018-06-30,0,0.6277372262773724,0.6461322688531665,0.9090909090909092,0.8450849685475541,0.0,0.011005851212036781,0.03624339980519813,0.0,0.10158013544018059,0.5550847457627119,0.4850137887657845,0.2695666304458444,0.75,1
30,Rockstar,Post Malone Featuring 21 Savage,2018-06-30,0,0.7177615571776156,0.6838925450426152,1.0,0.7073044784527274,1.0,0.1961549178044023,0.24813314878419712,0.0,0.0835214446952596,0.49258474576271194,0.21306062218781752,0.23754731413301472,0.75,2
31,Plug Walk,Rich The Kid,2018-06-30,0,0.8759124087591241,0.49940662423130877,1.0,0.7741996056708289,1.0,0.16689885762050716,0.20290051736078654,0.0,0.09142212189616253,0.13347457627118645,0.24332333446223808,0.22687311441074415,0.75,2
32,Back To You,Selena Gomez,2018-06-30,0,0.5413625304136254,0.7205739561980798,0.5454545454545454,0.8528307201201765,1.0,0.035385901365282815,0.09484478673819453,1.7628541448058762e-06,0.10496613995485328,0.5042372881355932,0.286141080845711,0.2805067413406519,0.75,0
33,Tequila,Dan + Shay,2018-06-30,0,0.4051094890510949,0.5662962563383321,1.0,0.8117547648108159,1.0,0.006826414042908895,0.03121755186926362,0.0,0.11851015801354405,0.489406779661017,0.18910566548938024,0.2621916989754213,0.75,2
34,Heaven,Kane Brown,2018-06-30,0,0.6338199513381996,0.539324630488726,0.8181818181818182,0.7735893343348041,1.0,0.010309278350515469,0.2642158621791876,0.0,0.08803611738148984,0.5180084745762712,0.1527589626977599,0.23389349765111794,0.75,2
35,Love Lies,Khalid & Normani,2018-06-30,0,0.6715328467153285,0.6385802136152768,0.5454545454545454,0.8166838794479391,1.0,0.030231262190025088,0.09595047328410013,0.0,0.12076749435665916,0.3241525423728814,0.5395036044317578,0.2703331768506269,0.75,0
